F/C EXP;F/C IC;F/C LS/HS;F/C FSP;F/C FSV;F/C FT;F/C CD;F/C TRAIN;F/C RAW;F/C ST;F ST;SDRV SD;SDRV[14:9];SDRV[8:0];TTM;SPV XYV;SPV XYW;SPV SI;SPV SDX;SPV SDY ;CDD;STM;STATE RDY;STATE DRV;STATE FYV;STATE FXV;STATE FYW;STATE FXW;STATE FI;STATE ST;TEMP0;TEMP1;SUNX;SUNY;SUNX1;SUNY1;SUNX2;SUNY2;SUNVX;SUNVY;SUNI;ECC_ERR;CDS;RADDR;EADDR
0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1280;117440512;0;0;1;0;0;1;0;0;34;66;2816;3072;3328;29236;3840;0;256;4108;34439;65407;65407;65407;65407
0;0;1;0;0;0;0;0;0;0;0;0;0;0;1024;0;0;2;0;0;1280;117440512;0;0;1;0;0;1;0;0;34;66;2816;3072;3328;29236;3840;0;31232;4108;34696;65407;65407;65407;65407
0;0;1;0;0;0;0;0;0;0;0;0;0;0;1024;6;3;3;14;15;65278;4278124286;1;1;1;1;1;0;1;6;254;254;65278;65278;65278;65278;65278;65278;65278;65278;65278;65278;65278;65278;65278
0;0;1;0;0;0;0;0;0;0;0;0;0;0;1024;6;3;3;14;15;65278;4278124286;1;1;1;1;1;0;1;6;254;254;65278;65278;65278;65278;65278;65278;65278;65278;65278;65278;65278;65278;65278
0;0;1;0;0;0;0;0;0;0;0;0;0;0;1024;6;3;3;14;15;65278;4278124286;1;1;1;1;1;0;1;6;254;254;65278;65278;65278;65278;65278;65278;65278;65278;65278;65278;65278;65278;65278
0;0;1;0;0;0;0;0;0;0;0;0;0;0;1024;6;3;3;14;15;65278;4278124286;1;1;1;1;1;0;1;6;254;254;65278;65278;65278;65278;65278;65278;65278;65278;65278;65278;65278;65278;65278
0;0;1;0;0;0;0;0;0;0;0;0;0;0;1024;6;3;3;14;15;65278;4278124286;1;1;1;1;1;0;1;6;254;254;65278;65278;65278;65278;65278;65278;65278;65278;65278;65278;65278;65278;65278
